ticket_id,created_date,category,priority,status,resolution_hours,agent,satisfaction_1to5
T5000,2023-08-18,Security,Critical,Resolved,2.8,Agent B,1.0
T5001,2023-09-26,Access,Low,Resolved,39.5,Agent E,5.0
T5002,2023-07-10,Email,Low,Resolved,69.3,Agent E,5.0
T5003,2023-07-18,Software,Critical,Open,1.2,Agent C,
T5004,2023-12-30,Email,Low,Resolved,54.1,Agent D,5.0
T5005,2024-04-26,Security,Critical,Resolved,0.9,Agent C,1.0
T5006,2024-05-28,Network,High,Resolved,8.9,Agent E,1.0
T5007,2023-09-25,Email,Critical,Resolved,2.1,Agent A,1.0
T5008,2023-10-06,Security,Critical,Resolved,3.4,Agent C,4.0
T5009,2024-05-22,Software,High,Resolved,6.0,Agent D,1.0
T5010,2024-01-26,Email,Critical,Resolved,0.5,Agent A,5.0
T5011,2023-12-21,Network,High,Escalated,9.0,Agent E,
T5012,2023-10-17,Software,High,Resolved,9.0,Agent D,2.0
T5013,2023-09-11,Hardware,Low,Resolved,35.3,Agent E,5.0
T5014,2024-06-25,Access,High,Open,7.1,Agent C,
T5015,2024-01-09,Email,Critical,Resolved,1.8,Agent E,1.0
T5016,2023-10-25,Security,Critical,Resolved,2.5,Agent C,1.0
T5017,2024-05-22,Hardware,High,Resolved,7.1,Agent A,4.0
T5018,2024-03-23,Security,Low,Resolved,52.3,Agent A,1.0
T5019,2023-10-09,Access,High,Resolved,16.1,Agent E,3.0
T5020,2023-12-23,Email,Medium,Open,32.6,Agent D,
T5021,2024-03-04,Access,Critical,Resolved,2.6,Agent E,4.0
T5022,2023-08-04,Email,High,Resolved,9.3,Agent A,5.0
T5023,2024-06-21,Software,High,Resolved,7.5,Agent A,1.0
T5024,2024-03-04,Network,Medium,Resolved,18.2,Agent C,1.0
T5025,2023-11-29,Security,High,Open,10.3,Agent E,
T5026,2023-07-28,Access,Medium,Resolved,29.5,Agent E,5.0
T5027,2023-11-27,Software,Medium,Resolved,30.2,Agent A,1.0
T5028,2023-08-06,Security,Low,Resolved,47.1,Agent A,3.0
T5029,2023-08-20,Security,Critical,Resolved,1.4,Agent A,2.0
T5030,2023-07-30,Network,Low,Open,80.5,Agent D,
T5031,2023-12-26,Hardware,Low,Resolved,57.3,Agent B,4.0
T5032,2023-09-30,Software,Critical,Resolved,1.9,Agent E,5.0
T5033,2023-11-16,Network,Medium,Resolved,32.4,Agent D,4.0
T5034,2023-12-10,Email,Low,Resolved,26.5,Agent E,4.0
T5035,2023-12-07,Email,Low,Resolved,23.9,Agent A,2.0
T5036,2023-07-28,Software,Critical,Open,1.8,Agent E,
T5037,2024-04-28,Access,Low,Resolved,59.6,Agent E,3.0
T5038,2024-06-14,Network,Medium,Resolved,28.0,Agent C,1.0
T5039,2023-11-27,Network,Medium,Resolved,26.2,Agent A,1.0
T5040,2024-02-06,Email,Low,Resolved,57.1,Agent D,3.0
T5041,2024-01-24,Email,Critical,Resolved,3.1,Agent B,5.0
T5042,2024-06-16,Access,Low,Resolved,49.3,Agent E,4.0
T5043,2024-03-18,Software,Medium,Resolved,29.1,Agent B,2.0
T5044,2023-07-07,Email,Medium,Resolved,16.7,Agent D,1.0
T5045,2023-09-24,Network,Critical,Resolved,3.6,Agent D,1.0
T5046,2023-09-07,Hardware,Medium,Resolved,37.1,Agent E,1.0
T5047,2024-06-06,Software,Critical,Resolved,3.0,Agent D,1.0
T5048,2023-10-23,Hardware,Medium,Resolved,9.0,Agent B,2.0
T5049,2023-10-14,Network,Critical,Resolved,1.7,Agent C,1.0
T5050,2023-08-27,Access,High,Resolved,4.9,Agent E,3.0
T5051,2023-12-17,Access,High,Resolved,13.4,Agent A,4.0
T5052,2024-06-12,Hardware,Critical,Open,2.3,Agent C,
T5053,2023-07-11,Email,Medium,Resolved,24.0,Agent D,2.0
T5054,2024-03-22,Network,High,Resolved,12.1,Agent A,2.0
T5055,2023-08-15,Network,Low,Resolved,66.7,Agent B,5.0
T5056,2023-12-17,Software,Medium,Resolved,33.6,Agent C,3.0
T5057,2024-04-01,Email,Medium,Resolved,30.1,Agent D,3.0
